id,percentage_column,bst_time,day_of_week,current_date_bst,temperature,humidity,chance_of_rain,wind
1,5,472,2,2024-08-21,16,74,39,23
2,5,478,2,2024-08-21,16,74,39,23
3,5,484,2,2024-08-21,16,74,39,23
4,5,491,2,2024-08-21,16,72,43,23
5,9,497,2,2024-08-21,16,72,43,23
6,10,503,2,2024-08-21,16,74,39,23
7,10,509,2,2024-08-21,16,72,43,22
8,11,515,2,2024-08-21,16,73,48,23
9,11,522,2,2024-08-21,16,72,43,22
10,12,528,2,2024-08-21,16,72,43,22
11,12,534,2,2024-08-21,16,73,44,23
12,13,540,2,2024-08-21,16,73,44,23
13,12,546,2,2024-08-21,16,73,44,23
14,12,554,2,2024-08-21,16,73,44,23
15,14,560,2,2024-08-21,16,73,44,23
16,15,566,2,2024-08-21,16,73,94,23
17,15,573,2,2024-08-21,16,77,96,23
18,15,579,2,2024-08-21,17,77,95,23
19,15,586,2,2024-08-21,16,77,96,23
20,15,592,2,2024-08-21,16,77,96,23
21,16,599,2,2024-08-21,16,77,96,23
22,13,605,2,2024-08-21,17,77,95,23
23,13,612,2,2024-08-21,16,77,96,23
24,13,618,2,2024-08-21,17,78,99,23
25,12,625,2,2024-08-21,17,78,99,23
26,13,631,2,2024-08-21,17,78,99,23
27,14,637,2,2024-08-21,16,78,97,23
28,15,644,2,2024-08-21,17,78,98,23
29,15,649,2,2024-08-21,17,78,100,23
30,15,656,2,2024-08-21,17,78,98,23
31,14,662,2,2024-08-21,16,78,97,23
32,14,667,2,2024-08-21,17,79,85,23
33,15,674,2,2024-08-21,17,81,85,23
34,15,680,2,2024-08-21,17,81,85,23
35,16,686,2,2024-08-21,17,79,85,23
36,22,693,2,2024-08-21,17,81,57,23
37,22,698,2,2024-08-21,17,80,44,23
38,21,705,2,2024-08-21,17,81,57,23
39,21,710,2,2024-08-21,17,80,44,23
40,19,716,2,2024-08-21,17,80,92,23
41,21,723,2,2024-08-21,17,80,92,23
42,22,729,2,2024-08-21,16,80,86,23
43,18,736,2,2024-08-21,17,80,92,23
44,18,742,2,2024-08-21,16,80,86,23
45,12,749,2,2024-08-21,16,79,80,23
46,13,755,2,2024-08-21,16,79,75,23
47,11,762,2,2024-08-21,16,79,80,23
48,12,767,2,2024-08-21,16,79,80,23
49,12,773,2,2024-08-21,16,79,41,23
50,13,780,2,2024-08-21,16,79,80,23
51,13,785,2,2024-08-21,16,79,41,23
52,15,791,2,2024-08-21,16,78,84,25
53,14,798,2,2024-08-21,16,78,88,25
54,14,804,2,2024-08-21,16,78,84,25
55,15,811,2,2024-08-21,16,78,88,25
56,13,816,2,2024-08-21,16,78,88,25
57,15,821,2,2024-08-21,16,78,88,25
58,15,827,2,2024-08-21,16,81,58,24
59,15,833,2,2024-08-21,16,81,58,24
60,15,839,2,2024-08-21,16,81,58,23
61,8,846,2,2024-08-21,16,81,58,24
62,13,852,2,2024-08-21,16,81,52,24
63,14,858,2,2024-08-21,14,84,75,23
64,14,865,2,2024-08-21,14,84,78,23
65,14,871,2,2024-08-21,14,84,75,23
66,18,878,2,2024-08-21,14,83,85,23
67,18,884,2,2024-08-21,14,83,85,23
68,19,889,2,2024-08-21,14,83,85,23
69,19,896,2,2024-08-21,14,83,85,23
70,18,902,2,2024-08-21,14,83,89,26
71,15,908,2,2024-08-21,14,83,89,26
72,15,915,2,2024-08-21,14,83,89,26
73,17,921,2,2024-08-21,14,83,89,26
74,17,928,2,2024-08-21,14,83,89,26
75,18,934,2,2024-08-21,14,83,89,26
76,20,941,2,2024-08-21,14,83,86,25
77,20,946,2,2024-08-21,14,83,86,25
78,21,952,2,2024-08-21,14,84,84,25
79,21,959,2,2024-08-21,14,83,86,25
80,23,965,2,2024-08-21,14,83,86,25
81,24,972,2,2024-08-21,14,84,84,25
82,24,978,2,2024-08-21,14,84,84,25
83,22,983,2,2024-08-21,14,84,75,26
84,22,990,2,2024-08-21,14,84,70,26
85,25,996,2,2024-08-21,14,84,74,26
86,25,1003,2,2024-08-21,14,84,74,26
87,25,1009,2,2024-08-21,14,84,68,25
88,27,1015,2,2024-08-21,14,84,68,26
89,29,1080,2,2024-08-21,14,84,65,26
90,29,1083,2,2024-08-21,14,84,65,26
91,25,1149,2,2024-08-21,14,85,65,24
92,19,1157,2,2024-08-21,14,85,65,24
93,16,1173,2,2024-08-21,14,85,65,24
94,6,399,3,2024-08-22,18,65,40,23
95,6,403,3,2024-08-22,18,65,40,23
96,6,409,3,2024-08-22,18,65,49,23
97,9,416,3,2024-08-22,18,63,2,24
98,13,422,3,2024-08-22,18,63,2,23
99,13,429,3,2024-08-22,18,63,2,23
100,13,431,3,2024-08-22,18,63,2,23
101,11,433,3,2024-08-22,18,63,2,24
102,11,433,3,2024-08-22,18,63,2,23
103,11,438,3,2024-08-22,18,63,2,24
104,14,443,3,2024-08-22,18,62,2,23
105,14,449,3,2024-08-22,18,62,3,24
106,10,454,3,2024-08-22,18,62,2,23
107,10,459,3,2024-08-22,18,62,3,24
108,10,464,3,2024-08-22,18,62,2,23
109,9,552,3,2024-08-22,18,57,57,24
110,10,555,3,2024-08-22,18,57,57,24
111,10,560,3,2024-08-22,18,56,38,25
112,10,565,3,2024-08-22,18,56,1,24
113,10,570,3,2024-08-22,18,56,1,24
114,11,576,3,2024-08-22,18,56,1,24
115,11,581,3,2024-08-22,18,55,1,24
116,9,586,3,2024-08-22,18,55,1,24
117,9,591,3,2024-08-22,18,54,1,24
118,9,596,3,2024-08-22,18,55,1,24
119,9,601,3,2024-08-22,18,54,1,24
120,11,607,3,2024-08-22,18,52,1,24
121,11,612,3,2024-08-22,18,52,1,24
122,13,617,3,2024-08-22,18,52,1,24
123,13,622,3,2024-08-22,18,52,1,24
124,13,627,3,2024-08-22,18,53,1,23
125,14,632,3,2024-08-22,18,52,1,24
126,15,638,3,2024-08-22,18,53,1,23
127,15,643,3,2024-08-22,18,51,1,24
128,13,648,3,2024-08-22,18,52,1,24
129,13,653,3,2024-08-22,18,51,1,24
130,13,658,3,2024-08-22,18,51,1,24
131,7,663,3,2024-08-22,18,51,1,27
132,4,669,3,2024-08-22,18,51,1,26
133,4,674,3,2024-08-22,18,51,1,27
134,4,679,3,2024-08-22,18,51,1,24
135,4,684,3,2024-08-22,18,51,1,27
136,4,689,3,2024-08-22,18,51,1,26
137,3,694,3,2024-08-22,18,51,1,27
138,4,700,3,2024-08-22,18,51,1,27
139,4,705,3,2024-08-22,18,51,1,27
140,5,710,3,2024-08-22,18,52,1,26
141,6,715,3,2024-08-22,18,51,1,27
142,6,720,3,2024-08-22,18,51,1,26
143,5,725,3,2024-08-22,18,51,1,26
144,5,731,3,2024-08-22,18,50,1,27
145,5,736,3,2024-08-22,18,50,1,27
146,5,741,3,2024-08-22,18,50,1,26
147,5,746,3,2024-08-22,18,50,1,26
148,5,751,3,2024-08-22,18,50,1,26
149,6,757,3,2024-08-22,18,50,1,26
150,6,762,3,2024-08-22,18,50,1,27
151,6,767,3,2024-08-22,18,50,1,26
152,6,772,3,2024-08-22,18,50,1,27
153,11,777,3,2024-08-22,18,50,1,27
154,11,783,3,2024-08-22,18,50,1,27
155,11,788,3,2024-08-22,18,50,1,27
156,11,793,3,2024-08-22,18,50,1,27
157,11,798,3,2024-08-22,18,49,1,28
158,14,803,3,2024-08-22,18,49,1,28
159,14,809,3,2024-08-22,18,49,1,28
160,14,814,3,2024-08-22,18,50,1,27
161,14,819,3,2024-08-22,18,49,1,28
162,16,824,3,2024-08-22,18,49,1,28
163,16,829,3,2024-08-22,19,49,1,27
164,14,834,3,2024-08-22,18,50,1,27
165,10,840,3,2024-08-22,19,49,1,27
166,10,845,3,2024-08-22,19,49,1,27
167,9,850,3,2024-08-22,19,49,1,27
168,9,855,3,2024-08-22,19,49,1,27
169,9,860,3,2024-08-22,19,50,1,24
170,4,865,3,2024-08-22,19,50,1,24
171,5,871,3,2024-08-22,19,50,1,24
172,5,876,3,2024-08-22,17,53,1,26
173,5,881,3,2024-08-22,19,50,1,24
174,5,886,3,2024-08-22,17,53,1,26
175,5,891,3,2024-08-22,17,53,1,26
176,7,896,3,2024-08-22,19,51,1,24
177,5,902,3,2024-08-22,19,51,1,24
178,5,907,3,2024-08-22,19,51,1,24
179,5,912,3,2024-08-22,19,51,1,24
180,5,917,3,2024-08-22,19,51,1,24
181,5,922,3,2024-08-22,19,51,1,24
182,3,927,3,2024-08-22,10,75,99,25
183,3,933,3,2024-08-22,11,75,99,25
184,8,938,3,2024-08-22,11,75,99,25
185,8,943,3,2024-08-22,11,75,99,25
186,12,948,3,2024-08-22,11,75,99,25
187,12,953,3,2024-08-22,11,75,99,25
188,10,958,3,2024-08-22,10,76,98,22
189,10,964,3,2024-08-22,11,75,99,23
190,11,969,3,2024-08-22,10,76,98,22
191,11,974,3,2024-08-22,10,76,98,22
192,8,979,3,2024-08-22,11,75,99,23
193,8,984,3,2024-08-22,11,76,99,22
194,15,989,3,2024-08-22,11,76,99,22
195,15,995,3,2024-08-22,11,76,100,23
196,15,1000,3,2024-08-22,11,76,100,23
197,15,1005,3,2024-08-22,10,76,99,23
198,13,1010,3,2024-08-22,11,76,100,23
