id,percentage_column,bst_time,day_of_week,current_date_bst,temperature,humidity,chance_of_rain,wind
25,9,1196,4,2024-08-30,8,80,7,6
26,9,1201,4,2024-08-30,8,80,7,6
27,9,1231,4,2024-08-30,8,83,7,4
28,0,1251,4,2024-08-30,8,84,7,4
29,0,1291,4,2024-08-30,8,84,7,4
30,0,1311,4,2024-08-30,8,84,7,3
31,0,391,5,2024-08-31,17,74,3,16
32,0,411,5,2024-08-31,17,74,3,16
33,0,451,5,2024-08-31,17,71,3,16
34,1,471,5,2024-08-31,17,71,3,16
35,5,511,5,2024-08-31,17,70,3,15
36,5,531,5,2024-08-31,17,70,3,15
37,12,571,5,2024-08-31,17,70,3,15
38,12,591,5,2024-08-31,17,70,3,15
39,8,631,5,2024-08-31,17,68,3,15
40,8,651,5,2024-08-31,17,68,3,15
41,21,691,5,2024-08-31,17,66,2,15
42,18,711,5,2024-08-31,17,66,2,15
43,12,751,5,2024-08-31,18,62,2,15
44,8,771,5,2024-08-31,18,63,2,15
45,5,811,5,2024-08-31,19,63,2,15
46,7,831,5,2024-08-31,18,63,2,16
47,5,871,5,2024-08-31,18,69,2,17
48,5,891,5,2024-08-31,18,69,2,16
49,5,931,5,2024-08-31,11,83,8,16
50,8,951,5,2024-08-31,11,83,8,16
51,5,991,5,2024-08-31,11,84,8,16
52,5,1011,5,2024-08-31,11,84,8,16
53,5,1051,5,2024-08-31,11,84,8,15
54,4,1071,5,2024-08-31,11,85,8,15
55,5,1111,5,2024-08-31,11,86,8,14
56,9,1131,5,2024-08-31,11,86,8,14
57,5,1171,5,2024-08-31,11,89,13,12
58,5,1191,5,2024-08-31,11,89,13,12
59,5,1231,5,2024-08-31,11,91,13,9
60,3,1251,5,2024-08-31,11,91,13,9
61,0,1266,5,2024-08-31,11,91,13,10
62,0,1285,5,2024-08-31,11,91,13,10
63,0,1305,5,2024-08-31,11,91,13,9
64,0,365,6,2024-09-01,16,83,22,16
65,0,385,6,2024-09-01,16,83,22,16
66,0,405,6,2024-09-01,16,83,22,16
67,0,425,6,2024-09-01,16,83,22,16
68,0,445,6,2024-09-01,16,80,22,16
69,0,466,6,2024-09-01,16,80,24,16
70,0,485,6,2024-09-01,16,80,24,16
