id,percentage_column,bst_time,day_of_week,current_date_bst,temperature,humidity,chance_of_rain,wind
404,1,365,6,2024-09-08,17,93,23,10
405,0,385,6,2024-09-08,16,93,24,10
406,0,405,6,2024-09-08,16,93,24,10
407,0,425,6,2024-09-08,16,93,24,10
408,0,445,6,2024-09-08,16,93,24,10
409,0,465,6,2024-09-08,16,92,24,10
410,10,485,6,2024-09-08,16,92,35,11
411,15,505,6,2024-09-08,16,92,35,11
412,25,525,6,2024-09-08,16,93,24,11
413,18,545,6,2024-09-08,16,91,24,11
414,25,565,6,2024-09-08,16,91,24,11
415,25,585,6,2024-09-08,16,91,24,11
416,25,605,6,2024-09-08,16,91,24,11
417,15,625,6,2024-09-08,16,91,24,11
418,17,645,6,2024-09-08,16,93,19,10
419,22,665,6,2024-09-08,16,93,23,11
420,30,685,6,2024-09-08,16,92,24,10
421,27,705,6,2024-09-08,16,92,24,10
422,25,725,6,2024-09-08,16,93,24,10
423,24,745,6,2024-09-08,16,93,24,10
424,22,765,6,2024-09-08,16,93,15,10
425,28,785,6,2024-09-08,16,92,30,10
426,30,805,6,2024-09-08,16,92,30,10
427,20,825,6,2024-09-08,16,92,30,10
428,17,845,6,2024-09-08,16,92,30,10
429,21,865,6,2024-09-08,16,92,30,10
430,26,885,6,2024-09-08,16,91,9,10
431,44,905,6,2024-09-08,16,91,9,10
432,55,926,6,2024-09-08,8,86,39,11
433,51,945,6,2024-09-08,8,86,40,11
434,45,965,6,2024-09-08,8,85,39,11
435,44,985,6,2024-09-08,8,85,39,11
436,45,1006,6,2024-09-08,8,85,24,11
437,44,1025,6,2024-09-08,7,86,24,10
438,55,1045,6,2024-09-08,7,86,24,11
439,53,1066,6,2024-09-08,7,86,22,9
440,52,1085,6,2024-09-08,7,86,22,9
441,50,1105,6,2024-09-08,7,85,19,10
442,41,1125,6,2024-09-08,7,85,19,10
443,38,1145,6,2024-09-08,7,85,19,10
444,35,1166,6,2024-09-08,7,85,19,10
445,31,1185,6,2024-09-08,7,85,19,10
446,36,1205,6,2024-09-08,7,86,19,9
447,34,1225,6,2024-09-08,7,88,19,7
448,32,1245,6,2024-09-08,7,88,17,7
449,25,1265,6,2024-09-08,7,88,17,7
450,24,1285,6,2024-09-08,7,87,16,7
451,23,1305,6,2024-09-08,7,87,16,7
